Fragment,Count,Time (ms),Size (bytes)
Cross.list-byid-clinicalusedefinitions-xml,2,2,0
Cross.list-byid-codesystems,2,0,0
Cross.list-byid-codesystems-json,2,1,0
Cross.list-byid-codesystems-xml,2,2,0
Cross.list-byid-communicationrequests,2,0,0
Cross.list-byid-communicationrequests-json,2,1,0
Cross.list-byid-communicationrequests-xml,2,1,0
Cross.list-byid-communications,2,0,0
Cross.list-byid-communications-json,2,2,0
Cross.list-byid-communications-xml,2,2,0
Cross.list-byid-compartmentdefinitions,2,0,0
Cross.list-byid-compartmentdefinitions-json,2,1,0
Cross.list-byid-compartmentdefinitions-xml,2,1,0
Cross.list-byid-compositions,2,0,0
Cross.list-byid-compositions-json,2,2,0
Cross.list-byid-compositions-xml,2,2,0
Cross.list-byid-conceptmaps,2,0,0
Cross.list-byid-conceptmaps-json,2,1,0
Cross.list-byid-conceptmaps-xml,2,2,0
Cross.list-byid-conditiondefinitions,2,0,0
Cross.list-byid-conditiondefinitions-json,2,1,0
Cross.list-byid-conditiondefinitions-xml,2,2,0
Cross.list-byid-conditions,2,0,0
Cross.list-byid-conditions-json,2,0,0
Cross.list-byid-conditions-xml,2,2,0
Cross.list-byid-consents,2,0,0
Cross.list-byid-consents-json,2,0,0
Cross.list-byid-consents-xml,2,0,0
Cross.list-byid-contracts,2,0,0
Cross.list-byid-contracts-json,2,1,0
Cross.list-byid-contracts-xml,2,2,0
Cross.list-byid-coverageeligibilityrequests,2,0,0
Cross.list-byid-coverageeligibilityrequests-json,2,2,0
Cross.list-byid-coverageeligibilityrequests-xml,2,2,0
Cross.list-byid-coverageeligibilityresponses,2,0,0
Cross.list-byid-coverageeligibilityresponses-json,2,1,0
Cross.list-byid-coverageeligibilityresponses-xml,2,2,0
Cross.list-byid-coverages,2,0,0
Cross.list-byid-coverages-json,2,2,0
Cross.list-byid-coverages-xml,2,2,0
Cross.list-byid-detectedissues,2,0,0
Cross.list-byid-detectedissues-json,2,1,0
Cross.list-byid-detectedissues-xml,2,1,0
Cross.list-byid-deviceassociations,2,0,0
Cross.list-byid-deviceassociations-json,2,1,0
Cross.list-byid-deviceassociations-xml,2,2,0
Cross.list-byid-devicedefinitions,2,0,0
Cross.list-byid-devicedefinitions-json,2,1,0
Cross.list-byid-devicedefinitions-xml,2,2,0
Cross.list-byid-devicedispenses,2,0,0
Cross.list-byid-devicedispenses-json,2,1,0
Cross.list-byid-devicedispenses-xml,2,2,0
Cross.list-byid-devicemetrics,2,0,0
Cross.list-byid-devicemetrics-json,2,1,0
Cross.list-byid-devicemetrics-xml,2,2,0
Cross.list-byid-devicerequests,2,0,0
Cross.list-byid-devicerequests-json,2,0,0
Cross.list-byid-devicerequests-xml,2,0,0
Cross.list-byid-devices,2,0,0
Cross.list-byid-devices-json,2,0,0
Cross.list-byid-devices-xml,2,2,0
Cross.list-byid-deviceusages,2,0,0
Cross.list-byid-deviceusages-json,2,1,0
Cross.list-byid-deviceusages-xml,2,1,0
Cross.list-byid-diagnosticreports,2,0,0
Cross.list-byid-diagnosticreports-json,2,2,0
Cross.list-byid-diagnosticreports-xml,2,2,0
Cross.list-byid-documentreferences,2,0,0
Cross.list-byid-documentreferences-json,2,0,0
Cross.list-byid-documentreferences-xml,2,2,0
Cross.list-byid-domainresources,2,0,0
Cross.list-byid-domainresources-json,2,0,0
Cross.list-byid-domainresources-xml,2,2,0
Cross.list-byid-encounterhistories,2,0,0
Cross.list-byid-encounterhistories-json,2,1,0
Cross.list-byid-encounterhistories-xml,2,1,0
Cross.list-byid-encounters,2,0,0
Cross.list-byid-encounters-json,2,1,0
Cross.list-byid-encounters-xml,2,2,0
Cross.list-byid-endpoints,2,1,0
Cross.list-byid-endpoints-json,2,2,0
Cross.list-byid-endpoints-xml,2,2,0
Cross.list-byid-enrollmentrequests,2,0,0
Cross.list-byid-enrollmentrequests-json,2,1,0
Cross.list-byid-enrollmentrequests-xml,2,1,0
Cross.list-byid-enrollmentresponses,2,0,0
Cross.list-byid-enrollmentresponses-json,2,2,0
Cross.list-byid-enrollmentresponses-xml,2,2,0
Cross.list-byid-episodeofcares,2,0,0
Cross.list-byid-episodeofcares-json,2,1,0
Cross.list-byid-episodeofcares-xml,2,1,0
Cross.list-byid-eventdefinitions,2,0,0
Cross.list-byid-eventdefinitions-json,2,2,0
Cross.list-byid-eventdefinitions-xml,2,4,0
Cross.list-byid-evidencereports,2,0,0
Cross.list-byid-evidencereports-json,2,0,0
Cross.list-byid-evidencereports-xml,2,1,0
Cross.list-byid-evidences,2,0,0
Cross.list-byid-evidences-json,2,2,0
Cross.list-byid-evidences-xml,2,2,0
Cross.list-byid-evidencevariables,2,1,0
Cross.list-byid-evidencevariables-json,2,1,0
Cross.list-byid-evidencevariables-xml,2,2,0
Cross.list-byid-examplescenarios,2,0,0
Cross.list-byid-examplescenarios-json,2,0,0
Cross.list-byid-examplescenarios-xml,2,1,0
Cross.list-byid-explanationofbenefits,2,0,0
Cross.list-byid-explanationofbenefits-json,2,2,0
Cross.list-byid-explanationofbenefits-xml,2,2,0
Cross.list-byid-familymemberhistories,2,0,0
Cross.list-byid-familymemberhistories-json,2,1,0
Cross.list-byid-familymemberhistories-xml,2,1,0
Cross.list-byid-flags,2,0,0
Cross.list-byid-flags-json,2,0,0
Cross.list-byid-flags-xml,2,1,0
Cross.list-byid-formularyitems,2,0,0
Cross.list-byid-formularyitems-json,2,1,0
Cross.list-byid-formularyitems-xml,2,2,0
Cross.list-byid-genomicstudies,2,0,0
Cross.list-byid-genomicstudies-json,2,1,0
Cross.list-byid-genomicstudies-xml,2,1,0
Cross.list-byid-goals,2,0,0
Cross.list-byid-goals-json,2,1,0
Cross.list-byid-goals-xml,2,2,0
Cross.list-byid-graphdefinitions,2,0,0
Cross.list-byid-graphdefinitions-json,2,1,0
Cross.list-byid-graphdefinitions-xml,2,1,0
Cross.list-byid-groups,2,0,0
Cross.list-byid-groups-json,2,1,0
Cross.list-byid-groups-xml,2,1,0
Cross.list-byid-guidanceresponses,2,0,0
Cross.list-byid-guidanceresponses-json,2,0,0
Cross.list-byid-guidanceresponses-xml,2,2,0
Cross.list-byid-healthcareservices,2,0,0
Cross.list-byid-healthcareservices-json,2,0,0
